run_id,timestamp_utc,eval_date_local,mae,mape,rmse,bias,train_rows,holdout_rows,data_key,model
2026040219,2026-04-02T19:16:04.335456+00:00,2026-04-02,5786.7706003841895,77.47716009913887,12386.989033722492,-951.9432100223896,180,270,structured/datasets/listings_master_llm.csv,RandomForestRegressor
2026040219,2026-04-02T19:20:33.705106+00:00,2026-04-02,5786.770600384189,77.47716009913887,12386.989033722492,-951.9432100223896,180,270,structured/datasets/listings_master_llm.csv,RandomForestRegressor
2026040219,2026-04-02T19:31:58.852835+00:00,2026-04-02,5807.310446096433,76.73855065856702,12460.629498551623,-967.9106142967764,180,271,structured/datasets/listings_master_llm.csv,RandomForestRegressor
2026040220,2026-04-02T20:20:34.968162+00:00,2026-04-02,5807.310446096433,76.73855065856702,12460.629498551623,-967.9106142967764,180,271,structured/datasets/listings_master_llm.csv,RandomForestRegressor
2026040221,2026-04-02T21:20:43.842401+00:00,2026-04-02,5838.2742455300695,77.42019766245976,12418.610229481232,-974.807516037386,177,275,structured/datasets/listings_master_llm.csv,RandomForestRegressor
2026040222,2026-04-02T22:20:44.305925+00:00,2026-04-02,5450.076153846154,61.62459025997411,11564.082743828863,-1778.62663003663,172,281,structured/datasets/listings_master_llm.csv,RandomForestRegressor
2026040223,2026-04-02T23:20:58.771017+00:00,2026-04-02,5577.030395683452,72.38231212883652,11547.899633959774,-1639.5239208633095,171,285,structured/datasets/listings_master_llm.csv,RandomForestRegressor
2026040300,2026-04-03T00:20:47.601001+00:00,2026-04-02,5513.241130742049,73.80083389116618,11542.627932558782,-1704.618233215548,170,287,structured/datasets/listings_master_llm.csv,RandomForestRegressor
2026040301,2026-04-03T01:20:50.926838+00:00,2026-04-02,5538.134652777778,73.71569095116719,11785.853938898294,-1657.5422916666666,167,291,structured/datasets/listings_master_llm.csv,RandomForestRegressor
2026040302,2026-04-03T02:20:47.329874+00:00,2026-04-02,5518.550413793104,73.29980041271273,11754.812108577902,-1679.046827586207,167,293,structured/datasets/listings_master_llm.csv,RandomForestRegressor
2026040303,2026-04-03T03:20:45.665245+00:00,2026-04-02,5711.986023941194,84.8010329432627,12085.381920102196,-1447.2413918828174,164,297,structured/datasets/listings_master_llm.csv,RandomForestRegressor
2026040304,2026-04-03T04:20:47.865945+00:00,2026-04-02,5727.638349762337,84.54760242317376,11958.846678287218,-1227.1634584988813,161,301,structured/datasets/listings_master_llm.csv,RandomForestRegressor
2026040305,2026-04-03T05:20:34.185030+00:00,2026-04-03,6067.599403266802,164.98024263628614,12283.615508400457,40.59084641548944,411,50,structured/datasets/listings_master_llm.csv,RandomForestRegressor
2026040306,2026-04-03T06:20:34.606789+00:00,2026-04-03,6152.932447966758,149.46329159845376,11673.904655165315,829.0937155637456,377,88,structured/datasets/listings_master_llm.csv,RandomForestRegressor
2026040307,2026-04-03T07:20:43.125445+00:00,2026-04-03,3943.1340585789135,50.31464929948236,11399.909789655869,-1621.6279413476068,331,111,structured/datasets/listings_master_llm.csv,ExtraTreesRegressor
2026040308,2026-04-03T08:20:53.937608+00:00,2026-04-03,3618.302345892641,46.11702309759874,10378.622941736525,-1461.6325556420963,306,136,structured/datasets/listings_master_llm.csv,ExtraTreesRegressor
2026040309,2026-04-03T09:20:39.394647+00:00,2026-04-03,3399.1211034265616,46.776530689586544,9701.790192687007,-1120.1240009124804,287,157,structured/datasets/listings_master_llm.csv,ExtraTreesRegressor
2026040310,2026-04-03T10:20:36.504022+00:00,2026-04-03,3864.93548220578,60.14268284675863,9453.21141654283,-567.6204356456202,262,184,structured/datasets/listings_master_llm.csv,ExtraTreesRegressor
2026040311,2026-04-03T11:20:39.035957+00:00,2026-04-03,3990.817251333269,64.95357515072115,9334.516910870409,-523.6949634990427,253,194,structured/datasets/listings_master_llm.csv,ExtraTreesRegressor
2026040312,2026-04-03T12:20:45.759195+00:00,2026-04-03,3766.669539679072,46.3375694270121,9486.675412746006,-1441.3276333974,235,217,structured/datasets/listings_master_llm.csv,ExtraTreesRegressor
2026040313,2026-04-03T13:21:07.427910+00:00,2026-04-03,4145.597061596549,57.63570496498389,9859.878938424366,-1070.8835125834046,228,224,structured/datasets/listings_master_llm.csv,ExtraTreesRegressor
2026040314,2026-04-03T14:20:53.287354+00:00,2026-04-03,4161.033592527773,57.39166430690964,9754.128837490152,-781.2588397085176,221,232,structured/datasets/listings_master_llm.csv,ExtraTreesRegressor
2026040315,2026-04-03T15:21:02.335899+00:00,2026-04-03,4054.626743296186,60.89997622788032,9262.559681412022,-779.1480238787444,217,237,structured/datasets/listings_master_llm.csv,ExtraTreesRegressor
2026040316,2026-04-03T16:21:16.659686+00:00,2026-04-03,3938.3704517553097,55.83497940487342,9004.631662839833,-665.2973690375422,212,246,structured/datasets/listings_master_llm.csv,ExtraTreesRegressor
2026040317,2026-04-03T17:20:46.168214+00:00,2026-04-03,4062.802253593845,56.0773429354435,9001.859954055715,-684.7867282774088,208,253,structured/datasets/listings_master_llm.csv,ExtraTreesRegressor
2026040318,2026-04-03T18:21:10.868479+00:00,2026-04-03,3894.547739147208,50.75471327267383,8904.465605120333,-926.3301000187524,206,255,structured/datasets/listings_master_llm.csv,ExtraTreesRegressor
2026040319,2026-04-03T19:21:20.826893+00:00,2026-04-03,4337.167892237847,51.71779228871394,9897.778701029669,-1544.374714795685,200,261,structured/datasets/listings_master_llm.csv,ExtraTreesRegressor
2026040320,2026-04-03T20:21:26.231729+00:00,2026-04-03,4360.164316179681,54.10666915737059,9907.509894166336,-1413.179281493713,198,267,structured/datasets/listings_master_llm.csv,ExtraTreesRegressor
2026040321,2026-04-03T21:21:31.039099+00:00,2026-04-03,4619.802941941682,54.64301043226592,10265.736149621038,-1354.676320171155,195,271,structured/datasets/listings_master_llm.csv,ExtraTreesRegressor
2026040322,2026-04-03T22:21:00.457600+00:00,2026-04-03,4614.306948738682,54.56137170840529,10094.377515630242,-1341.1330308385093,194,273,structured/datasets/listings_master_llm.csv,ExtraTreesRegressor
2026040323,2026-04-03T23:20:58.728812+00:00,2026-04-03,4457.780319163452,48.9088545586803,10054.77222840668,-1584.0101260622637,193,274,structured/datasets/listings_master_llm.csv,ExtraTreesRegressor
2026040400,2026-04-04T00:21:27.686664+00:00,2026-04-03,4314.892010758101,48.53804912885,9993.29525279888,-1514.5178329793837,192,275,structured/datasets/listings_master_llm.csv,ExtraTreesRegressor
2026040401,2026-04-04T01:21:27.613233+00:00,2026-04-03,4268.609168055566,48.31174090028919,9887.492536031914,-1497.1594142450251,191,276,structured/datasets/listings_master_llm.csv,ExtraTreesRegressor
2026040402,2026-04-04T02:21:02.924325+00:00,2026-04-03,4477.937480487305,45.29192034597009,11085.526015427322,-1904.16252831421,190,277,structured/datasets/listings_master_llm.csv,ExtraTreesRegressor
2026040403,2026-04-04T03:21:07.494904+00:00,2026-04-03,4462.203120381126,44.6972149304115,11151.089185502762,-1981.681205470744,190,277,structured/datasets/listings_master_llm.csv,ExtraTreesRegressor
2026040404,2026-04-04T04:21:00.374336+00:00,2026-04-03,4646.273859464204,55.88198663354888,11126.859659389154,-1664.3184876869225,189,280,structured/datasets/listings_master_llm.csv,ExtraTreesRegressor
2026040405,2026-04-04T05:21:08.530450+00:00,2026-04-04,4084.985636289805,35.66386585135569,15288.532314430004,-2807.0287446486373,423,47,structured/datasets/listings_master_llm.csv,RandomForestRegressor
2026040406,2026-04-04T06:21:25.452766+00:00,2026-04-04,3509.109315619294,39.10422467818774,11537.445855238484,-1785.0383431657042,387,83,structured/datasets/listings_master_llm.csv,RandomForestRegressor
2026040407,2026-04-04T07:21:10.820673+00:00,2026-04-04,4041.840264503766,46.19401207287185,11228.0594100134,-1965.645016504661,349,121,structured/datasets/listings_master_llm.csv,RandomForestRegressor
2026040408,2026-04-04T08:21:19.344227+00:00,2026-04-04,4291.621585112171,41.79519342043768,11892.417750010743,-2674.9367068691863,324,147,structured/datasets/listings_master_llm.csv,RandomForestRegressor
2026040409,2026-04-04T09:21:07.393126+00:00,2026-04-04,4282.546292083812,44.77217207786552,11763.524483948624,-2638.141482351194,301,170,structured/datasets/listings_master_llm.csv,RandomForestRegressor
