feature,importance_mean,importance_std
year_num,1028.2944731382006,91.36826395601913
vehicle_age,960.6774145947362,88.88277340602383
mileage_num,692.1728947988852,69.91319789988815
log_mileage,646.33368537629,66.43221811727997
city,455.87609573927944,52.28480085073055
cylinders,295.4100578766755,36.61130821426887
fuel,262.3028888306529,37.12536997351741
make,214.26242183189655,66.97453972212662
seller_type,175.03330210165086,37.52001469343802
condition,173.36065892148636,41.88624704978522
type,160.63870081581365,27.115266053114087
drive,84.22104177400288,17.04241558013824
state,50.80205019673619,19.484363222967662
model,48.5072939345795,7.298469295717697
zip_prefix,11.73902682074137,6.396466021894247
title_status,0.0,0.0
transmission,-2.1391794580011263,4.292037937167525
